CUSTNO,ASSO,COMPETITOR,PURDATE,GENDER,AGE,AREA,FREQ,MNAME,JOINMONTH
06247,D,D02,201511.0,,,,,,
06250,D,D01,201503.0,,,,,,
06260,D,D02,201502.0,,,,,,
06260,D,D02,201504.0,,,,,,
06260,D,D02,201505.0,,,,,,
06260,D,D02,201507.0,,,,,,
06270,D,D02,201503.0,,,,,,
06270,D,D02,201506.0,,,,,,
06270,D,D02,201510.0,,,,,,
06270,D,D02,201511.0,,,,,,
06279,D,D02,201512.0,,,,,,
06290,D,D02,201506.0,,,,,,
06290,D,D02,201509.0,,,,,,
06300,D,D02,201512.0,,,,,,
06315,D,D02,201512.0,,,,,,
06347,D,D02,201503.0,,,,,,
06358,D,D01,201501.0,,,,,,
06358,D,D01,201502.0,,,,,,
06358,D,D01,201504.0,,,,,,
06358,D,D01,201506.0,,,,,,
06358,D,D02,201503.0,,,,,,
06358,D,D02,201505.0,,,,,,
06361,D,D02,201502.0,,,,,,
06361,D,D02,201504.0,,,,,,
06361,D,D02,201506.0,,,,,,
06361,D,D02,201507.0,,,,,,
06361,D,D02,201508.0,,,,,,
06361,D,D02,201509.0,,,,,,
06361,D,D02,201510.0,,,,,,
06361,D,D02,201511.0,,,,,,
06395,D,D01,201503.0,,,,,,
06407,D,D02,201511.0,,,,,,
06424,D,D01,201510.0,,,,,,
06457,D,D02,201503.0,,,,,,
06463,D,D02,201504.0,,,,,,
06463,D,D02,201512.0,,,,,,
06481,D,D01,201506.0,,,,,,
06481,D,D02,201505.0,,,,,,
06481,D,D02,201507.0,,,,,,
06481,D,D02,201509.0,,,,,,
06482,D,D02,201511.0,,,,,,
06490,D,D02,201503.0,,,,,,
06501,D,D02,201511.0,,,,,,
06513,D,D02,201503.0,,,,,,
06513,D,D02,201512.0,,,,,,
06519,D,D02,201512.0,,,,,,
06524,D,D02,201504.0,,,,,,
06524,D,D02,201508.0,,,,,,
06528,D,D02,201504.0,,,,,,
06534,D,D02,201504.0,,,,,,
06534,D,D02,201506.0,,,,,,
06551,D,D02,201508.0,,,,,,
06561,D,D01,201502.0,,,,,,
06568,D,D01,201509.0,,,,,,
06568,D,D02,201501.0,,,,,,
06568,D,D02,201505.0,,,,,,
06568,D,D02,201507.0,,,,,,
06568,D,D02,201508.0,,,,,,
06568,D,D02,201509.0,,,,,,
06568,D,D02,201511.0,,,,,,
06574,D,D02,201511.0,,,,,,
06584,D,D02,201505.0,,,,,,
06600,D,D01,201506.0,,,,,,
06607,D,D02,201501.0,,,,,,
06633,D,D02,201502.0,,,,,,
06633,D,D02,201503.0,,,,,,
06633,D,D02,201506.0,,,,,,
06633,D,D02,201508.0,,,,,,
06644,D,D02,201504.0,,,,,,
06644,D,D02,201507.0,,,,,,
06644,D,D02,201510.0,,,,,,
06644,D,D02,201512.0,,,,,,
06658,D,D02,201501.0,,,,,,
06658,D,D02,201511.0,,,,,,
06663,D,D02,201501.0,,,,,,
06680,D,D02,201504.0,,,,,,
06680,D,D02,201509.0,,,,,,
06682,D,D02,201508.0,,,,,,
06682,D,D02,201510.0,,,,,,
06721,D,D02,201502.0,,,,,,
06721,D,D02,201506.0,,,,,,
06721,D,D02,201508.0,,,,,,
06721,D,D02,201510.0,,,,,,
06721,D,D02,201512.0,,,,,,
06731,D,D02,201505.0,,,,,,
06759,D,D02,201512.0,,,,,,
06790,D,D02,201501.0,,,,,,
06790,D,D02,201504.0,,,,,,
06790,D,D02,201509.0,,,,,,
06802,D,D02,201502.0,,,,,,
06802,D,D02,201509.0,,,,,,
06810,D,D02,201511.0,,,,,,
06814,D,D02,201512.0,,,,,,
06836,D,D02,201501.0,,,,,,
06836,D,D02,201502.0,,,,,,
06836,D,D02,201508.0,,,,,,
06836,D,D02,201510.0,,,,,,
06836,D,D02,201512.0,,,,,,
06841,D,D02,201502.0,,,,,,
06898,D,D02,201509.0,,,,,,
06907,D,D01,201501.0,,,,,,
06907,D,D01,201511.0,,,,,,
06907,D,D02,201506.0,,,,,,
06907,D,D02,201509.0,,,,,,
06918,D,D02,201502.0,,,,,,
06920,D,D02,201512.0,,,,,,
06924,D,D02,201501.0,,,,,,
06954,D,D01,201508.0,,,,,,
06954,D,D01,201509.0,,,,,,
06954,D,D01,201511.0,,,,,,
06954,D,D02,201512.0,,,,,,
06993,D,D01,201505.0,,,,,,
06993,D,D02,201506.0,,,,,,
07004,D,D02,201501.0,,,,,,
07004,D,D02,201502.0,,,,,,
07004,D,D02,201503.0,,,,,,
07004,D,D02,201504.0,,,,,,
07004,D,D02,201505.0,,,,,,
07004,D,D02,201506.0,,,,,,
07004,D,D02,201507.0,,,,,,
07004,D,D02,201508.0,,,,,,
07004,D,D02,201509.0,,,,,,
07004,D,D02,201510.0,,,,,,
07004,D,D02,201511.0,,,,,,
07004,D,D02,201512.0,,,,,,
07008,D,D02,201506.0,,,,,,
07038,D,D02,201504.0,,,,,,
07048,D,D02,201503.0,,,,,,
07048,D,D02,201505.0,,,,,,
07050,D,D02,201507.0,,,,,,
07051,D,D02,201503.0,,,,,,
07051,D,D02,201505.0,,,,,,
07051,D,D02,201509.0,,,,,,
07057,D,D02,201512.0,,,,,,
07068,D,D02,201502.0,,,,,,
07086,D,D02,201506.0,,,,,,
07086,D,D02,201508.0,,,,,,
07111,D,D02,201507.0,,,,,,
07117,D,D02,201503.0,,,,,,
07118,D,D02,201501.0,,,,,,
07118,D,D02,201503.0,,,,,,
07118,D,D02,201507.0,,,,,,
07127,D,D02,201501.0,,,,,,
07170,D,D02,201510.0,,,,,,
07171,D,D01,201501.0,,,,,,
07208,D,D01,201502.0,,,,,,
07208,D,D01,201503.0,,,,,,
07208,D,D01,201504.0,,,,,,
07208,D,D01,201505.0,,,,,,
07208,D,D01,201506.0,,,,,,
07208,D,D02,201501.0,,,,,,
07208,D,D02,201505.0,,,,,,
07208,D,D02,201506.0,,,,,,
07212,D,D01,201509.0,,,,,,
07212,D,D02,201507.0,,,,,,
07212,D,D02,201512.0,,,,,,
07213,D,D02,201501.0,,,,,,
07239,D,D02,201502.0,,,,,,
07241,D,D02,201507.0,,,,,,
07241,D,D02,201509.0,,,,,,
07255,D,D02,201504.0,,,,,,
07255,D,D02,201511.0,,,,,,
07259,D,D02,201501.0,,,,,,
07294,D,D01,201501.0,,,,,,
07305,D,D02,201501.0,,,,,,
07305,D,D02,201503.0,,,,,,
07305,D,D02,201504.0,,,,,,
07305,D,D02,201505.0,,,,,,
07305,D,D02,201506.0,,,,,,
07305,D,D02,201507.0,,,,,,
07313,D,D02,201510.0,,,,,,
07313,D,D02,201511.0,,,,,,
07313,D,D02,201512.0,,,,,,
07387,D,D02,201506.0,,,,,,
07387,D,D02,201508.0,,,,,,
07387,D,D02,201512.0,,,,,,
07413,D,D02,201512.0,,,,,,
07442,D,D01,201506.0,,,,,,
07448,D,D02,201508.0,,,,,,
07465,D,D02,201504.0,,,,,,
07488,D,D02,201502.0,,,,,,
07488,D,D02,201509.0,,,,,,
07488,D,D02,201510.0,,,,,,
07488,D,D02,201512.0,,,,,,
07498,D,D01,201503.0,,,,,,
07509,D,D01,201512.0,,,,,,
07510,D,D01,201511.0,,,,,,
07510,D,D01,201512.0,,,,,,
07522,D,D02,201505.0,,,,,,
07543,D,D02,201503.0,,,,,,
07564,D,D02,201511.0,,,,,,
07576,D,D02,201503.0,,,,,,
07576,D,D02,201504.0,,,,,,
07576,D,D02,201505.0,,,,,,
07576,D,D02,201507.0,,,,,,
07576,D,D02,201508.0,,,,,,
07576,D,D02,201509.0,,,,,,
07576,D,D02,201510.0,,,,,,
07584,D,D02,201512.0,,,,,,
07605,D,D01,201502.0,,,,,,
07605,D,D01,201505.0,,,,,,
07605,D,D01,201506.0,,,,,,
07605,D,D02,201502.0,,,,,,
07605,D,D02,201503.0,,,,,,
07605,D,D02,201504.0,,,,,,
07605,D,D02,201506.0,,,,,,
07605,D,D02,201507.0,,,,,,
07607,D,D02,201502.0,,,,,,
07607,D,D02,201503.0,,,,,,
07607,D,D02,201504.0,,,,,,
07607,D,D02,201507.0,,,,,,
07607,D,D02,201508.0,,,,,,
07607,D,D02,201509.0,,,,,,
07607,D,D02,201510.0,,,,,,
07607,D,D02,201511.0,,,,,,
07607,D,D02,201512.0,,,,,,
07611,D,D02,201504.0,,,,,,
07616,D,D01,201512.0,,,,,,
07616,D,D02,201510.0,,,,,,
07616,D,D02,201511.0,,,,,,
07616,D,D02,201512.0,,,,,,
07618,D,D02,201508.0,,,,,,
07632,D,D02,201504.0,,,,,,
07655,D,D01,201501.0,,,,,,
07655,D,D01,201502.0,,,,,,
07655,D,D01,201507.0,,,,,,
07655,D,D01,201510.0,,,,,,
07655,D,D01,201512.0,,,,,,
07655,D,D02,201501.0,,,,,,
07655,D,D02,201502.0,,,,,,
07655,D,D02,201503.0,,,,,,
07655,D,D02,201504.0,,,,,,
07655,D,D02,201505.0,,,,,,
07655,D,D02,201507.0,,,,,,
07655,D,D02,201508.0,,,,,,
07655,D,D02,201509.0,,,,,,
07655,D,D02,201510.0,,,,,,
07655,D,D02,201511.0,,,,,,
07655,D,D02,201512.0,,,,,,
07656,D,D02,201505.0,,,,,,
07656,D,D02,201508.0,,,,,,
07656,D,D02,201511.0,,,,,,
07684,D,D01,201509.0,,,,,,
07746,D,D02,201509.0,,,,,,
07751,D,D02,201508.0,,,,,,
07787,D,D02,201505.0,,,,,,
07789,D,D02,201502.0,,,,,,
07806,D,D02,201509.0,,,,,,
07806,D,D02,201511.0,,,,,,
07815,D,D02,201510.0,,,,,,
07815,D,D02,201511.0,,,,,,
07820,D,D02,201503.0,,,,,,
07824,D,D02,201501.0,,,,,,
07824,D,D02,201512.0,,,,,,
07825,D,D02,201510.0,,,,,,
07829,D,D02,201509.0,,,,,,
07851,D,D01,201502.0,,,,,,
07855,D,D01,201510.0,,,,,,
07855,D,D02,201501.0,,,,,,
07855,D,D02,201509.0,,,,,,
07875,D,D01,201504.0,,,,,,
07875,D,D01,201505.0,,,,,,
07875,D,D01,201509.0,,,,,,
07875,D,D02,201504.0,,,,,,
07875,D,D02,201506.0,,,,,,
07875,D,D02,201509.0,,,,,,
07875,D,D02,201510.0,,,,,,
07875,D,D02,201512.0,,,,,,
07876,D,D02,201501.0,,,,,,
07876,D,D02,201507.0,,,,,,
07878,D,D02,201505.0,,,,,,
07878,D,D02,201508.0,,,,,,
07894,D,D02,201501.0,,,,,,
07898,D,D02,201506.0,,,,,,
07900,D,D02,201501.0,,,,,,
07900,D,D02,201503.0,,,,,,
07900,D,D02,201504.0,,,,,,
07900,D,D02,201505.0,,,,,,
07900,D,D02,201507.0,,,,,,
07900,D,D02,201508.0,,,,,,
07922,D,D02,201512.0,,,,,,
07944,D,D02,201510.0,,,,,,
07971,D,D02,201506.0,,,,,,
07977,D,D02,201510.0,,,,,,
07978,D,D02,201505.0,,,,,,
07979,D,D02,201507.0,,,,,,
08005,D,D01,201503.0,,,,,,
08007,D,D02,201506.0,,,,,,
08013,D,D02,201502.0,,,,,,
08013,D,D02,201505.0,,,,,,
08013,D,D02,201508.0,,,,,,
08041,D,D02,201505.0,,,,,,
08041,D,D02,201509.0,,,,,,
08044,D,D02,201505.0,,,,,,
08071,D,D02,201508.0,,,,,,
08110,D,D02,201501.0,,,,,,
08110,D,D02,201502.0,,,,,,
08110,D,D02,201503.0,,,,,,
08110,D,D02,201505.0,,,,,,
08110,D,D02,201507.0,,,,,,
08110,D,D02,201508.0,,,,,,
08110,D,D02,201511.0,,,,,,
08115,D,D02,201505.0,,,,,,
08115,D,D02,201506.0,,,,,,
08122,D,D01,201505.0,,,,,,
08122,D,D02,201501.0,,,,,,
08130,D,D02,201504.0,,,,,,
08130,D,D02,201505.0,,,,,,
08152,D,D02,201503.0,,,,,,
08168,D,D01,201506.0,,,,,,
08178,D,D02,201511.0,,,,,,
08185,D,D01,201501.0,,,,,,
08197,D,D02,201511.0,,,,,,
08197,D,D02,201512.0,,,,,,
08199,D,D02,201511.0,,,,,,
08212,D,D02,201501.0,,,,,,
08240,D,D02,201506.0,,,,,,
08264,D,D01,201512.0,,,,,,
08268,D,D01,201508.0,,,,,,
08268,D,D02,201509.0,,,,,,
08274,D,D02,201501.0,,,,,,
08296,D,D02,201511.0,,,,,,
08298,D,D02,201501.0,,,,,,
08298,D,D02,201509.0,,,,,,
08298,D,D02,201512.0,,,,,,
08308,D,D02,201509.0,,,,,,
08308,D,D02,201510.0,,,,,,
08308,D,D02,201512.0,,,,,,
08337,D,D02,201509.0,,,,,,
08337,D,D02,201512.0,,,,,,
08343,D,D01,201501.0,,,,,,
08409,D,D01,201509.0,,,,,,
08409,D,D02,201509.0,,,,,,
08409,D,D02,201510.0,,,,,,
08413,D,D02,201505.0,,,,,,
08413,D,D02,201508.0,,,,,,
08416,D,D02,201508.0,,,,,,
08417,D,D01,201510.0,,,,,,
08417,D,D02,201505.0,,,,,,
08417,D,D02,201509.0,,,,,,
08426,D,D01,201501.0,,,,,,
08426,D,D02,201502.0,,,,,,
08456,D,D01,201501.0,,,,,,
08457,D,D02,201509.0,,,,,,
08463,D,D02,201503.0,,,,,,
08463,D,D02,201506.0,,,,,,
08476,D,D02,201502.0,,,,,,
08479,D,D02,201509.0,,,,,,
08482,D,D02,201506.0,,,,,,
08505,D,D01,201509.0,,,,,,
08506,D,D02,201506.0,,,,,,
08519,D,D02,201501.0,,,,,,
08519,D,D02,201503.0,,,,,,
08519,D,D02,201505.0,,,,,,
08519,D,D02,201506.0,,,,,,
08519,D,D02,201507.0,,,,,,
08519,D,D02,201508.0,,,,,,
08519,D,D02,201510.0,,,,,,
08519,D,D02,201511.0,,,,,,
08524,D,D02,201506.0,,,,,,
08530,D,D02,201508.0,,,,,,
08556,D,D02,201511.0,,,,,,
08582,D,D02,201502.0,,,,,,
08583,D,D02,201503.0,,,,,,
08596,D,D02,201509.0,,,,,,
08598,D,D02,201509.0,,,,,,
08599,D,D02,201503.0,,,,,,
08599,D,D02,201504.0,,,,,,
08599,D,D02,201505.0,,,,,,
08599,D,D02,201507.0,,,,,,
08599,D,D02,201508.0,,,,,,
08599,D,D02,201509.0,,,,,,
08599,D,D02,201510.0,,,,,,
08637,D,D02,201508.0,,,,,,
08640,D,D02,201510.0,,,,,,
08659,D,D02,201505.0,,,,,,
08660,D,D02,201502.0,,,,,,
08660,D,D02,201503.0,,,,,,
08660,D,D02,201504.0,,,,,,
08660,D,D02,201506.0,,,,,,
08690,D,D02,201501.0,,,,,,
08690,D,D02,201508.0,,,,,,
08690,D,D02,201509.0,,,,,,
08700,D,D02,201501.0,,,,,,
08700,D,D02,201502.0,,,,,,
08700,D,D02,201503.0,,,,,,
08700,D,D02,201504.0,,,,,,
08700,D,D02,201506.0,,,,,,
08700,D,D02,201507.0,,,,,,
08700,D,D02,201508.0,,,,,,
08736,D,D02,201501.0,,,,,,
08739,D,D02,201509.0,,,,,,
08739,D,D02,201512.0,,,,,,
08742,D,D02,201507.0,,,,,,
08767,D,D02,201503.0,,,,,,
08767,D,D02,201506.0,,,,,,
08774,D,D01,201505.0,,,,,,
08774,D,D01,201509.0,,,,,,
